Name,Role,Score,Trend,KDA
Aatrox,TOP,71.25,-3.39,1.85
Ahri,MID,77.12,-5.03,2.63
Akali,MID,55.37,-5.08,2.3
Akali,TOP,36.35,-0.6,2.06
Akshan,MID,47.25,-1.5,2.16
Akshan,TOP,37.24,0.83,1.89
Alistar,SUPPORT,54.33,4.6,2.51
Amumu,JUNGLE,44.96,-0.85,2.64
Amumu,SUPPORT,40.1,-1.92,2.08
Anivia,MID,50.85,-1.84,2.84
Anivia,SUPPORT,24.49,-5.76,2.07
Annie,MID,48.73,-8.33,2.34
Annie,SUPPORT,36.74,-3.16,2.27
Aphelios,ADC,44.69,-23.49,1.95
Ashe,ADC,67.31,4.14,2.45
Ashe,SUPPORT,37.02,1.58,2.06
Aurelion Sol,MID,54,0.48,2.64
Azir,MID,47.51,0.27,2.09
Bard,SUPPORT,43.6,-2.68,2.88
Bel'Veth,JUNGLE,49.69,1.57,2.41
Blitzcrank,SUPPORT,79.03,4.56,2.37
Brand,SUPPORT,41.62,-3.46,1.75
Brand,MID,40.08,5.34,2.06
Braum,SUPPORT,47.38,0.89,2.79
Caitlyn,ADC,46.61,-2.93,2.12
Camille,TOP,50.66,-0.83,1.94
Cassiopeia,MID,47.36,-1.15,2.16
Cassiopeia,TOP,37.99,-1.37,1.95
Cho'Gath,TOP,51.89,-1.43,2.07
Cho'Gath,MID,43.75,0.1,2.41
Corki,MID,37.15,-0.31,2.19
Darius,TOP,89.77,2.57,1.8
Diana,MID,40.75,-2.3,2.13
Diana,JUNGLE,39.37,-2.64,2.38
Dr. Mundo,TOP,50.46,-2.71,1.87
Draven,ADC,48.93,-0.17,2.14
Ekko,JUNGLE,53.28,2.72,2.68
Ekko,MID,46.68,0.75,2.24
Elise,JUNGLE,36.51,1,2.71
Evelynn,JUNGLE,57.3,2.59,2.95
Ezreal,ADC,72.99,-19.84,2.49
Ezreal,MID,33.67,-7.35,1.98
Fiddlesticks,JUNGLE,48.92,0.28,2.75
Fiddlesticks,SUPPORT,37.61,-0.4,2.03
Fiora,TOP,69.54,0.38,1.69
Fizz,MID,62.51,1.61,2.39
Galio,MID,46.34,0.19,2.62
Galio,SUPPORT,35.96,0.01,2.33
Gangplank,TOP,58.79,0.16,1.95
Gangplank,MID,44.29,1.67,2.25
Garen,TOP,70.64,0.3,1.99
Gnar,TOP,40.81,-1.82,1.8
Gragas,JUNGLE,45.62,0.69,2.8
Gragas,TOP,38.22,-3.15,1.96
Gragas,MID,36.71,-1.32,2.26
Graves,JUNGLE,72.71,1.85,2.65
Gwen,TOP,53.66,2.4,1.7
Hecarim,JUNGLE,62.04,4.1,2.65
Heimerdinger,MID,44.22,0.5,2.01
Heimerdinger,SUPPORT,39.84,-0.65,1.92
Heimerdinger,TOP,33.45,-0.59,1.73
Illaoi,TOP,63.63,3.5,1.45
Irelia,TOP,54.9,0.85,1.66
Irelia,MID,49.15,1.54,1.82
Ivern,JUNGLE,51.46,-8.06,3.44
Ivern,SUPPORT,33.65,-4.87,2.5
Janna,SUPPORT,61.02,2.58,3.2
Jarvan IV,JUNGLE,64.68,1.7,3.27
Jax,TOP,92.58,-0.44,1.71
Jax,JUNGLE,32.93,4.29,2.14
Jayce,TOP,54.24,-1.01,1.82
Jayce,MID,45.75,0.7,2.16
Jhin,ADC,59.38,-16.54,2.82
Jinx,ADC,48.29,-4.48,2.24
K'Sante,TOP,59.69,-2.15,1.82
Kai'Sa,ADC,92.98,3.24,2.48
Kalista,ADC,34.73,6.99,2.12
Karma,SUPPORT,50.43,-0.38,2.55
Karthus,ADC,46.76,6.48,2.27
Karthus,MID,42.52,3.23,2.25
Karthus,JUNGLE,38.01,-1.81,2.46
Kassadin,MID,45.87,-1.12,2.5
Katarina,MID,64.8,2.24,2.24
Kayle,TOP,59.91,-2.81,1.83
Kayle,MID,47.19,-0.96,2.22
Kayn,JUNGLE,83.56,7.31,2.45
Kennen,TOP,38.75,-6.52,1.88
Kennen,MID,37.55,-3.41,2.29
Kha'Zix,JUNGLE,89.93,-3.1,2.64
Kindred,JUNGLE,73.66,-12.38,2.31
Kled,TOP,48.26,-0.11,2.21
Kog'Maw,ADC,42.51,8.28,2.13
LeBlanc,MID,66.02,-21.94,2.74
Lee Sin,JUNGLE,91.03,13.94,2.67
Leona,SUPPORT,57.54,-0.02,2.39
Lillia,JUNGLE,51.06,0.54,2.75
Lissandra,MID,47.5,-3.35,2.4
Lucian,ADC,45.63,-7.42,2.22
Lulu,SUPPORT,59.04,-0.46,2.85
Lux,SUPPORT,84.82,7.57,2.36
Lux,MID,60.79,-0.11,2.87
Malphite,TOP,83.04,-1.26,2.48
Malphite,MID,46.92,-1.33,2.55
Malphite,SUPPORT,30.04,-4.96,1.99
Malzahar,MID,51.78,-1.03,2.27
Maokai,JUNGLE,52.39,1,3.05
Maokai,SUPPORT,46.53,5.55,2.37
Maokai,TOP,43.6,2.19,2.44
Master Yi,JUNGLE,71.87,-1.37,2.06
Milio,SUPPORT,81.15,-11.18,3.39
Miss Fortune,ADC,60.44,-4.87,2.31
Mordekaiser,TOP,72.79,-1.18,1.83
Morgana,SUPPORT,64.13,5.31,2.36
Nami,SUPPORT,52.82,-2.31,2.93
Nasus,TOP,66.24,-5.88,1.92
Nasus,MID,42.5,1,2.2
Nautilus,SUPPORT,87.81,8.42,2.3
Neeko,MID,54.1,-11.96,2.51
Neeko,SUPPORT,44.74,-2.19,2.02
Nidalee,JUNGLE,54.05,6.14,2.92
Nilah,ADC,45.72,5.1,2.25
Nocturne,JUNGLE,56.43,3.43,2.65
Nunu,JUNGLE,42.05,-2.96,2.66
Olaf,TOP,48.79,0.53,1.74
Olaf,JUNGLE,22.96,-3.37,2.17
Orianna,MID,50.56,-0.15,2.76
Ornn,TOP,60.18,-1.99,2.4
Pantheon,MID,49.94,-2.96,2.29
Pantheon,TOP,49.25,3.86,2.03
Pantheon,SUPPORT,36.47,1.46,1.85
Poppy,TOP,49.74,0.42,2.21
Poppy,JUNGLE,44.39,0.46,2.89
Pyke,SUPPORT,67.1,4.07,2.16
Qiyana,MID,47.41,5.15,2.2
Qiyana,JUNGLE,20.78,-2.99,2.34
Quinn,TOP,49.07,5.45,1.97
Quinn,MID,44.2,-2.63,2.28
Rakan,SUPPORT,70.91,3.7,2.9
Rammus,JUNGLE,49.63,-1.58,3.11
Rammus,TOP,30.44,-3.91,1.61
Rek'Sai,JUNGLE,69.23,-9.71,2.79
Rell,SUPPORT,80.81,11.71,2.95
Rell,JUNGLE,46.63,0,3.58
Renata Glasc,SUPPORT,44.57,-0.25,2.64
Renekton,TOP,77.61,12.07,1.9
Rengar,JUNGLE,62.69,0.83,2.37
Rengar,TOP,39.96,-1.09,2.02
Riven,TOP,55.5,0.6,1.81
Rumble,MID,47.23,6.27,2.58
Rumble,TOP,45.51,3.43,2.12
Rumble,JUNGLE,31.2,2.43,2.86
Ryze,MID,45.59,-0.42,2.35
Ryze,TOP,35.71,-1.31,1.98
Samira,ADC,57.04,-4.91,2.19
Sejuani,JUNGLE,49.91,3.2,3.27
Senna,SUPPORT,62.66,1.54,2.51
Seraphine,SUPPORT,52.34,0.66,2.45
Seraphine,ADC,49.21,9.81,3
Seraphine,MID,46.72,1.94,2.93
Sett,TOP,65.36,0.03,1.69
Shaco,JUNGLE,58.88,-1.71,2.7
Shaco,SUPPORT,36.03,-2.37,2.29
Shen,TOP,57.59,1.12,2.95
Shen,SUPPORT,30.62,-3.85,2.52
Shyvana,JUNGLE,31.35,-1.37,2.44
Shyvana,TOP,28.01,1.2,1.88
Singed,MID,48.88,0,2.79
Singed,TOP,40.16,0.15,1.97
Sion,TOP,57,-5.09,1.62
Sion,MID,35.89,-2.49,1.32
Sivir,ADC,42.9,6.74,2.37
Skarner,JUNGLE,38.1,2.14,2.72
Skarner,TOP,30.61,2.28,2.21
Sona,SUPPORT,53.15,1.33,2.85
Soraka,SUPPORT,60.35,1.97,2.77
Swain,ADC,50.89,0,2.98
Swain,MID,49.53,2.35,2.72
Swain,SUPPORT,49.45,2.38,2.34
Sylas,MID,55.65,0.17,2.13
Sylas,JUNGLE,39.44,-0.52,2.4
Syndra,MID,56.32,2.63,2.29
Tahm Kench,TOP,38.72,-1.8,2.32
Tahm Kench,SUPPORT,34.87,-5.55,2.25
Taliyah,MID,44.88,2.15,2.32
Taliyah,JUNGLE,33.28,2.33,2.75
Talon,MID,52.37,0.53,2.29
Talon,JUNGLE,33.38,-1.72,2.51
Taric,SUPPORT,47.44,-1.88,2.78
Teemo,TOP,58.84,-1.71,1.72
Teemo,SUPPORT,30.82,-4.14,1.73
Thresh,SUPPORT,91.09,6.4,2.58
Tristana,MID,47.21,4.01,1.99
Tristana,ADC,44.29,3.9,2.2
Trundle,JUNGLE,39.07,0.94,2.6
Trundle,TOP,35.29,-1.63,1.58
Tryndamere,MID,41.47,1.77,2.07
Tryndamere,TOP,40.25,-0.88,1.75
Twisted Fate,MID,43.98,-0.59,2.17
Twitch,ADC,46.23,3.18,2.37
Twitch,SUPPORT,33.25,0.76,2.08
Udyr,JUNGLE,39.12,0.8,2.5
Udyr,TOP,32.19,2.43,1.7
Urgot,TOP,46.28,0.42,1.94
Varus,ADC,45.2,-1.82,2.21
Varus,TOP,28.59,-14.81,1.71
Vayne,ADC,44.25,3.85,2.02
Vayne,TOP,35.52,4.94,1.55
Veigar,MID,54.59,-3.66,2.17
Veigar,ADC,39.26,7.06,2.22
Veigar,SUPPORT,28.09,0,1.8
Vel'Koz,MID,44.1,2.21,2.6
Vel'Koz,SUPPORT,41.32,1.55,2.14
Vex,MID,50.2,-2.15,2.37
Vi,JUNGLE,42.18,-13.38,2.3
Viego,JUNGLE,70.33,5.05,2.47
Viktor,MID,54.13,2.05,2.27
Vladimir,MID,54.65,3.61,2.42
Vladimir,TOP,34.53,-0.44,2.05
Volibear,TOP,36.96,-0.57,1.64
Volibear,JUNGLE,33.68,-1.42,2.64
Warwick,JUNGLE,49.91,-3.99,2.17
Warwick,TOP,36.27,-3.06,1.79
Wukong,JUNGLE,38.79,-4.57,2.64
Wukong,TOP,33.59,0.72,2.06
Xayah,ADC,52.38,1.57,2.3
Xerath,SUPPORT,53.03,0.58,2.48
Xerath,MID,48.19,-2.63,3.13
Xin Zhao,JUNGLE,38.19,0.99,2.25
Yasuo,MID,85.15,-2.72,1.76
Yasuo,TOP,43.76,-2.39,1.49
Yasuo,ADC,40.1,7.72,2.01
Yone,MID,58.02,-1.12,1.89
Yone,TOP,57.2,1.88,1.63
Yorick,TOP,48.83,0.63,1.52
Yuumi,SUPPORT,69.04,-4.32,4.18
Zac,JUNGLE,53.35,0.93,3.59
Zac,TOP,44.32,-2.26,2.69
Zed,MID,90.84,2.83,2.26
Zeri,ADC,39.89,0.19,2.27
Ziggs,MID,43.66,4.37,2.34
Ziggs,ADC,41.4,7.33,2.48
Ziggs,SUPPORT,31.09,-3.87,1.98
Zilean,MID,52.02,4.9,3.52
Zilean,SUPPORT,45.21,1.15,3.03
Zoe,MID,49.82,1.34,2.6
Zoe,SUPPORT,32.21,-1.45,2.11
Zyra,SUPPORT,46.64,-0.95,2.06
